"No.","Time","Source","Destination","Protocol","Length","Rank","Sequence Number","DODAGID","Info"
"192","660.494816","","","IEEE 802.15.4","5","","9","","Ack"
"193","699.902379","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","338","115","","RPL Control (DODAG Information Object)"
"194","699.902575","","","IEEE 802.15.4","5","","115","","Ack"
"195","706.038125","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","265","50","","RPL Control (DODAG Information Object)"
"196","706.038269","","","IEEE 802.15.4","5","","50","","Ack"
"197","732.755656","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","452","10","","RPL Control (DODAG Information Object)"
"198","732.756141","","","IEEE 802.15.4","5","","10","","Ack"
"199","736.445915","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","338","116","","RPL Control (DODAG Information Object)"
"200","736.446421","","","IEEE 802.15.4","5","","116","","Ack"
"201","785.618232","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","329","117","","RPL Control (DODAG Information Object)"
"202","785.618374","","","IEEE 802.15.4","5","","117","","Ack"
"203","787.688629","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","258","51","","RPL Control (DODAG Information Object)"
"204","787.689053","","","IEEE 802.15.4","5","","51","","Ack"
"205","819.746161","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","452","11","","RPL Control (DODAG Information Object)"
"206","819.746290","","","IEEE 802.15.4","5","","11","","Ack"
"207","841.047944","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","329","118","","RPL Control (DODAG Information Object)"
"208","841.048441","","","IEEE 802.15.4","5","","118","","Ack"
"209","844.184493","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","263","52","","RPL Control (DODAG Information Object)"
"210","852.374331","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","263","53","","RPL Control (DODAG Information Object)"
"211","852.374850","","","IEEE 802.15.4","5","","53","","Ack"
"212","874.993592","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","329","119","","RPL Control (DODAG Information Object)"
"213","874.994102","","","IEEE 802.15.4","5","","119","","Ack"
"214","880.167500","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","321","120","","RPL Control (DODAG Information Object)"
"215","892.873772","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","444","12","","RPL Control (DODAG Information Object)"
"216","892.874212","","","IEEE 802.15.4","5","","12","","Ack"
