"No.","Time","Source","Destination","Protocol","Length","Rank","Sequence Number","DODAGID","Info"
"16","7.499954","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","85","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"17","7.500367","","","IEEE 802.15.4","5","","85","","Ack"
"18","9.479955","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","259","86","","RPL Control (DODAG Information Object)"
"19","9.900133","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","234","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"20","9.900736","","","IEEE 802.15.4","5","","234","","Ack"
"21","9.945660","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","87","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"22","9.946045","","","IEEE 802.15.4","5","","87","","Ack"
"23","12.075263","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","61","","RPL Control (DODAG Information Object)"
"24","12.195263","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","450","235","","RPL Control (DODAG Information Object)"
"25","12.615432","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","450","236","","RPL Control (DODAG Information Object)"
"26","12.615607","","","IEEE 802.15.4","5","","236","","Ack"
"27","14.310976","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","353","20","","RPL Control (DODAG Information Object)"
"28","15.210975","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","21","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"29","15.211493","","","IEEE 802.15.4","5","","21","","Ack"
"30","16.786819","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","88","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"31","16.787340","","","IEEE 802.15.4","5","","88","","Ack"
"32","20.237155","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","257","89","","RPL Control (DODAG Information Object)"
"33","20.237590","","","IEEE 802.15.4","5","","89","","Ack"
"34","22.470986","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","238","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"35","22.471288","","","IEEE 802.15.4","5","","238","","Ack"
"36","22.527261","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","90","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"37","22.527648","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","90","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"38","22.556295","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","90","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"39","22.574348","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","90","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"40","22.574753","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","90","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"41","22.601133","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","90","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"42","22.632133","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","90","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"43","22.632517","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","90","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"44","25.571376","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","343","22","","RPL Control (DODAG Information Object)"
"45","26.066330","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","134","","RPL Control (DODAG Information Object)"
"46","32.036831","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","135","","RPL Control (DODAG Information Object)"
"47","35.877318","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","92","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"48","35.877457","","","IEEE 802.15.4","5","","92","","Ack"
"49","35.982006","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","23","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"50","35.982239","","","IEEE 802.15.4","5","","23","","Ack"
"51","44.638510","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","334","24","","RPL Control (DODAG Information Object)"
"52","44.638868","","","IEEE 802.15.4","5","","24","","Ack"
"53","47.382996","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","136","","RPL Control (DODAG Information Object)"
"54","47.488107","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","684","239","","RPL Control (DODAG Information Object)"
"55","50.458474","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","93","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"56","50.458938","","","IEEE 802.15.4","5","","93","","Ack"
"57","50.578625","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","25","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"58","50.579111","","","IEEE 802.15.4","5","","25","","Ack"
"59","53.039153","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","263","26","","RPL Control (DODAG Information Object)"
"60","53.593609","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","684","240","","RPL Control (DODAG Information Object)"
"61","53.593755","","","IEEE 802.15.4","5","","240","","Ack"
"62","54.523628","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","684","241","","RPL Control (DODAG Information Object)"
"63","54.523789","","","IEEE 802.15.4","5","","241","","Ack"
"64","56.503921","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","684","242","","RPL Control (DODAG Information Object)"
"65","56.504103","","","IEEE 802.15.4","5","","242","","Ack"
"66","56.804466","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","243","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"67","56.804960","","","IEEE 802.15.4","5","","243","","Ack"
"68","56.849289","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","94","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"69","56.849440","","","IEEE 802.15.4","5","","94","","Ack"
"70","59.789331","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","488","244","","RPL Control (DODAG Information Object)"
"71","59.939086","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","433","95","","RPL Control (DODAG Information Object)"
"72","60.179395","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","76","","245","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"73","60.179921","","","IEEE 802.15.4","5","","245","","Ack"
"74","60.180207","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","27","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"75","60.180497","","","IEEE 802.15.4","5","","27","","Ack"
"76","69.015119","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","478","246","","RPL Control (DODAG Information Object)"
"77","78.151553","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","433","96","","RPL Control (DODAG Information Object)"
"78","78.182522","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","433","96","","RPL Control (DODAG Information Object)"
"79","78.240944","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","433","96","","RPL Control (DODAG Information Object)"
"80","78.241131","","","IEEE 802.15.4","5","","96","","Ack"
"81","78.346077","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","478","247","","RPL Control (DODAG Information Object)"
"82","79.156454","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","137","","RPL Control (DODAG Information Object)"
"83","82.531582","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","261","28","","RPL Control (DODAG Information Object)"
"84","82.531781","","","IEEE 802.15.4","5","","28","","Ack"
"85","82.937006","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","29","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"86","82.937398","","","IEEE 802.15.4","5","","29","","Ack"
"87","84.977114","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","97","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"88","84.977578","","","IEEE 802.15.4","5","","97","","Ack"
"89","105.184007","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","478","248","","RPL Control (DODAG Information Object)"
"90","108.920774","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","257","30","","RPL Control (DODAG Information Object)"
"91","114.921286","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","76","","249","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"92","114.921686","","","IEEE 802.15.4","5","","249","","Ack"
"93","114.921920","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","31","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"94","114.922197","","","IEEE 802.15.4","5","","31","","Ack"
"95","115.970333","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","102","463","250","","RPL Control (DODAG Information Object)"
"96","115.970767","","","IEEE 802.15.4","5","","250","","Ack"
"97","116.195409","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","98","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"98","116.195615","","","IEEE 802.15.4","5","","98","","Ack"
"99","121.280772","","","IEEE 802.15.4","5","","99","","Ack"
"100","125.766043","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","399","100","","RPL Control (DODAG Information Object)"
"101","137.527385","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","138","","RPL Control (DODAG Information Object)"
"102","141.293039","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","101","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"103","141.293426","","","IEEE 802.15.4","5","","101","","Ack"
"104","143.228266","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","32","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"105","143.228605","","","IEEE 802.15.4","5","","32","","Ack"
"106","152.814429","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","463","251","","RPL Control (DODAG Information Object)"
"107","156.790373","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","266","33","","RPL Control (DODAG Information Object)"
"108","156.790814","","","IEEE 802.15.4","5","","33","","Ack"
"109","162.521896","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","76","","252","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"110","162.522287","","","IEEE 802.15.4","5","","252","","Ack"
"111","162.566923","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","34","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"112","162.567348","","","IEEE 802.15.4","5","","34","","Ack"
"113","170.081486","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","384","102","","RPL Control (DODAG Information Object)"
"114","170.081916","","","IEEE 802.15.4","5","","102","","Ack"
"115","181.108174","","","IEEE 802.15.4","5","","253","","Ack"
"116","193.934412","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","263","35","","RPL Control (DODAG Information Object)"
"117","193.934804","","","IEEE 802.15.4","5","","35","","Ack"
"118","214.561760","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","464","254","","RPL Control (DODAG Information Object)"
"119","214.562041","","","IEEE 802.15.4","5","","254","","Ack"
"120","215.057292","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","384","103","","RPL Control (DODAG Information Object)"
"121","215.057695","","","IEEE 802.15.4","5","","103","","Ack"
"122","227.358392","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","139","","RPL Control (DODAG Information Object)"
"123","230.118983","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","104","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"124","230.119510","","","IEEE 802.15.4","5","","104","","Ack"
"125","232.894066","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","36","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"126","232.894219","","","IEEE 802.15.4","5","","36","","Ack"
"127","240.185603","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","262","37","","RPL Control (DODAG Information Object)"
"128","240.186074","","","IEEE 802.15.4","5","","37","","Ack"
"129","245.106053","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","76","","255","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"130","245.106376","","","IEEE 802.15.4","5","","255","","Ack"
"131","245.135991","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","38","fd00::212:4b00:1665:3283","RPL Control (Destination Advertisement Object)"
"132","245.136603","","","IEEE 802.15.4","5","","38","","Ack"
"133","249.081505","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","263","39","","RPL Control (DODAG Information Object)"
"134","252.981728","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","371","105","","RPL Control (DODAG Information Object)"
"135","257.692258","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","447","0","","RPL Control (DODAG Information Object)"
