"No.","Time","Source","Destination","Protocol","Length","Rank","Sequence Number","Info"
"320","1154.677372","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","130","100","RPL Control (DODAG Information Object)"
"322","1171.238102","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","260","171","RPL Control (DODAG Information Object)"
"324","1187.224887","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","137","101","RPL Control (DODAG Information Object)"
"325","1187.225299","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","137","101","RPL Control (DODAG Information Object)"
"326","1187.253267","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","137","101","RPL Control (DODAG Information Object)"
"327","1187.253729","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","137","101","RPL Control (DODAG Information Object)"
"328","1187.283499","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","137","101","RPL Control (DODAG Information Object)"
"329","1187.328450","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","137","101","RPL Control (DODAG Information Object)"
"330","1187.328864","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","137","101","RPL Control (DODAG Information Object)"
"331","1187.358610","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","137","101","RPL Control (DODAG Information Object)"
"332","1219.114950","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","129","102","RPL Control (DODAG Information Object)"
"334","1247.186237","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","260","172","RPL Control (DODAG Information Object)"
"335","1247.186643","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","260","172","RPL Control (DODAG Information Object)"
"336","1247.215895","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","260","172","RPL Control (DODAG Information Object)"
"337","1247.246104","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","260","172","RPL Control (DODAG Information Object)"
"338","1247.246505","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","260","172","RPL Control (DODAG Information Object)"
"339","1247.290915","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","260","172","RPL Control (DODAG Information Object)"
"340","1247.320901","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","260","172","RPL Control (DODAG Information Object)"
"341","1247.365964","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","260","172","RPL Control (DODAG Information Object)"
"342","1265.876563","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","130","103","RPL Control (DODAG Information Object)"
"344","1279.421820","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","260","173","RPL Control (DODAG Information Object)"
"345","1293.972579","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","129","104","RPL Control (DODAG Information Object)"
"346","1310.398229","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","260","174","RPL Control (DODAG Information Object)"
"347","1310.443284","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","260","174","RPL Control (DODAG Information Object)"
"349","1327.213941","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","105","RPL Control (DODAG Information Object)"
"350","1327.258498","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","105","RPL Control (DODAG Information Object)"
"351","1327.288512","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","105","RPL Control (DODAG Information Object)"
"352","1327.288911","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","105","RPL Control (DODAG Information Object)"
"353","1327.307562","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","105","RPL Control (DODAG Information Object)"
"354","1327.307963","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","105","RPL Control (DODAG Information Object)"
"355","1327.348747","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","105","RPL Control (DODAG Information Object)"
"356","1327.349154","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","105","RPL Control (DODAG Information Object)"
"357","1369.125554","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","129","106","RPL Control (DODAG Information Object)"
"359","1390.065978","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","272","176","RPL Control (DODAG Information Object)"
"360","1390.066388","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","272","176","RPL Control (DODAG Information Object)"
"361","1390.096192","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","272","176","RPL Control (DODAG Information Object)"
"362","1390.126013","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","272","176","RPL Control (DODAG Information Object)"
"363","1390.171013","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","272","176","RPL Control (DODAG Information Object)"
"364","1390.171661","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","272","176","RPL Control (DODAG Information Object)"
"365","1390.231239","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","272","176","RPL Control (DODAG Information Object)"
"366","1390.260897","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","272","176","RPL Control (DODAG Information Object)"
"367","1446.813521","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","272","177","RPL Control (DODAG Information Object)"
"369","1453.068711","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","137","107","RPL Control (DODAG Information Object)"
"371","1474.744367","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","30","RPL Control (DODAG Information Object)"
"372","1476.814231","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","178","RPL Control (Destination Advertisement Object)"
"374","1476.859448","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","108","RPL Control (Destination Advertisement Object)"
"376","1504.655836","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","109","RPL Control (DODAG Information Object)"
"377","1504.671164","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","109","RPL Control (DODAG Information Object)"
"378","1504.671571","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","109","RPL Control (DODAG Information Object)"
"379","1504.700434","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","109","RPL Control (DODAG Information Object)"
"380","1504.725717","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","109","RPL Control (DODAG Information Object)"
"381","1504.726398","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","109","RPL Control (DODAG Information Object)"
"382","1504.755656","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","109","RPL Control (DODAG Information Object)"
"383","1504.800739","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","129","109","RPL Control (DODAG Information Object)"
"384","1509.720607","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","268","179","RPL Control (DODAG Information Object)"
"386","1564.787707","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","268","180","RPL Control (DODAG Information Object)"
"387","1564.815335","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","268","180","RPL Control (DODAG Information Object)"
"388","1564.815742","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","268","180","RPL Control (DODAG Information Object)"
"389","1564.842776","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","268","180","RPL Control (DODAG Information Object)"
"390","1564.882349","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","268","180","RPL Control (DODAG Information Object)"
"391","1564.882746","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","268","180","RPL Control (DODAG Information Object)"
"392","1564.908127","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","268","180","RPL Control (DODAG Information Object)"
"393","1564.908529","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","268","180","RPL Control (DODAG Information Object)"
"394","1577.898227","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","292","110","RPL Control (DODAG Information Object)"
"396","1603.789602","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","268","181","RPL Control (DODAG Information Object)"
"398","1623.125378","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","292","111","RPL Control (DODAG Information Object)"
"400","1659.291748","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","266","182","RPL Control (DODAG Information Object)"
"402","1686.277536","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","288","112","RPL Control (DODAG Information Object)"
"403","1686.331534","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","288","112","RPL Control (DODAG Information Object)"
"404","1686.331933","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","288","112","RPL Control (DODAG Information Object)"
"405","1686.357827","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","288","112","RPL Control (DODAG Information Object)"
"406","1686.387476","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","288","112","RPL Control (DODAG Information Object)"
"407","1686.432573","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","288","112","RPL Control (DODAG Information Object)"
"408","1686.432970","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","288","112","RPL Control (DODAG Information Object)"
"409","1686.477840","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","288","112","RPL Control (DODAG Information Object)"
"410","1725.328958","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","266","183","RPL Control (DODAG Information Object)"
"411","1725.329372","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","266","183","RPL Control (DODAG Information Object)"
"412","1725.359278","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","266","183","RPL Control (DODAG Information Object)"
"413","1725.380788","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","266","183","RPL Control (DODAG Information Object)"
"414","1725.381182","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","266","183","RPL Control (DODAG Information Object)"
"415","1725.412867","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","266","183","RPL Control (DODAG Information Object)"
"416","1725.413306","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","266","183","RPL Control (DODAG Information Object)"
"417","1725.439058","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","266","183","RPL Control (DODAG Information Object)"
"418","1726.834063","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","184","RPL Control (Destination Advertisement Object)"
"420","1765.355644","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","288","113","RPL Control (DODAG Information Object)"
"422","1793.196951","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","265","185","RPL Control (DODAG Information Object)"
"424","1836.683841","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","288","114","RPL Control (DODAG Information Object)"
"426","1851.414173","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","265","186","RPL Control (DODAG Information Object)"
"427","1851.459266","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","265","186","RPL Control (DODAG Information Object)"
"428","1851.459665","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","265","186","RPL Control (DODAG Information Object)"
"429","1851.527301","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","265","186","RPL Control (DODAG Information Object)"
"430","1851.527701","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","265","186","RPL Control (DODAG Information Object)"
"431","1851.566292","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","265","186","RPL Control (DODAG Information Object)"
"432","1851.566814","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","265","186","RPL Control (DODAG Information Object)"
"433","1851.594104","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","265","186","RPL Control (DODAG Information Object)"
"434","1874.965469","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","284","115","RPL Control (DODAG Information Object)"
"435","1874.999712","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","284","115","RPL Control (DODAG Information Object)"
"436","1875.000116","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","284","115","RPL Control (DODAG Information Object)"
"437","1875.025268","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","284","115","RPL Control (DODAG Information Object)"
"438","1875.025732","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","284","115","RPL Control (DODAG Information Object)"
"439","1875.055001","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","284","115","RPL Control (DODAG Information Object)"
"440","1875.099968","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","284","115","RPL Control (DODAG Information Object)"
"441","1875.145083","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","284","115","RPL Control (DODAG Information Object)"
"442","1891.510764","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","265","187","RPL Control (DODAG Information Object)"
"444","1923.161983","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","284","116","RPL Control (DODAG Information Object)"
"446","1953.448552","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","264","188","RPL Control (DODAG Information Object)"
"448","1963.168637","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","284","117","RPL Control (DODAG Information Object)"
"450","1994.670253","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","281","118","RPL Control (DODAG Information Object)"
"451","1994.715159","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","281","118","RPL Control (DODAG Information Object)"
"452","1994.747302","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","281","118","RPL Control (DODAG Information Object)"
"453","1994.747747","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","281","118","RPL Control (DODAG Information Object)"
"454","1994.767062","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","281","118","RPL Control (DODAG Information Object)"
"455","1994.767454","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","281","118","RPL Control (DODAG Information Object)"
"456","1994.809737","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","281","118","RPL Control (DODAG Information Object)"
"457","1994.810193","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","281","118","RPL Control (DODAG Information Object)"
"458","2042.812075","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","264","189","RPL Control (DODAG Information Object)"
"459","2042.841708","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","264","189","RPL Control (DODAG Information Object)"
"460","2042.874453","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","264","189","RPL Control (DODAG Information Object)"
"461","2042.874852","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","264","189","RPL Control (DODAG Information Object)"
"462","2042.902095","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","264","189","RPL Control (DODAG Information Object)"
"463","2042.902493","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","264","189","RPL Control (DODAG Information Object)"
"464","2042.946682","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","264","189","RPL Control (DODAG Information Object)"
"465","2042.991726","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","264","189","RPL Control (DODAG Information Object)"
"466","2070.743138","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","281","119","RPL Control (DODAG Information Object)"
"468","2090.979105","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","31","RPL Control (DODAG Information Object)"
"469","2095.163772","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","190","RPL Control (Destination Advertisement Object)"
"471","2095.418770","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","120","RPL Control (Destination Advertisement Object)"
"474","2159.381840","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","278","121","RPL Control (DODAG Information Object)"
"475","2159.382263","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","278","121","RPL Control (DODAG Information Object)"
"476","2159.426733","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","278","121","RPL Control (DODAG Information Object)"
"477","2159.456872","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","278","121","RPL Control (DODAG Information Object)"
"478","2159.457271","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","278","121","RPL Control (DODAG Information Object)"
"479","2159.525480","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","278","121","RPL Control (DODAG Information Object)"
"480","2159.525886","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","278","121","RPL Control (DODAG Information Object)"
"481","2159.551895","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","278","121","RPL Control (DODAG Information Object)"
"482","2171.910316","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","263","193","RPL Control (DODAG Information Object)"
"483","2171.910733","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","263","193","RPL Control (DODAG Information Object)"
"484","2171.949608","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","263","193","RPL Control (DODAG Information Object)"
"485","2171.950012","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","263","193","RPL Control (DODAG Information Object)"
"486","2171.977259","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","263","193","RPL Control (DODAG Information Object)"
"487","2172.019415","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","263","193","RPL Control (DODAG Information Object)"
"488","2172.019810","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","263","193","RPL Control (DODAG Information Object)"
"489","2172.047077","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","263","193","RPL Control (DODAG Information Object)"
"490","2202.228594","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","263","194","RPL Control (DODAG Information Object)"
"492","2233.039677","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","262","195","RPL Control (DODAG Information Object)"
"494","2233.444725","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","278","122","RPL Control (DODAG Information Object)"
"496","2302.907014","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","262","196","RPL Control (DODAG Information Object)"
"497","2302.907433","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","262","196","RPL Control (DODAG Information Object)"
"498","2302.947451","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","262","196","RPL Control (DODAG Information Object)"
"499","2302.947847","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","262","196","RPL Control (DODAG Information Object)"
"500","2302.977709","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","262","196","RPL Control (DODAG Information Object)"
"501","2302.978106","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","262","196","RPL Control (DODAG Information Object)"
"502","2303.037681","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","262","196","RPL Control (DODAG Information Object)"
"503","2303.038086","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","262","196","RPL Control (DODAG Information Object)"
"504","2306.112764","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","102","278","123","RPL Control (DODAG Information Object)"
"506","2307.342599","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","275","124","RPL Control (DODAG Information Object)"
"507","2370.224976","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","102","262","197","RPL Control (DODAG Information Object)"
"509","2388.631211","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","275","125","RPL Control (DODAG Information Object)"
"510","2388.676101","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","275","125","RPL Control (DODAG Information Object)"
"511","2388.720863","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","275","125","RPL Control (DODAG Information Object)"
"512","2388.721262","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","275","125","RPL Control (DODAG Information Object)"
"513","2388.766071","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","275","125","RPL Control (DODAG Information Object)"
"514","2388.766543","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","275","125","RPL Control (DODAG Information Object)"
"515","2388.825776","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","275","125","RPL Control (DODAG Information Object)"
"516","2388.856153","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","275","125","RPL Control (DODAG Information Object)"
"517","2411.521748","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","261","198","RPL Control (DODAG Information Object)"
"519","2447.700511","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","261","199","RPL Control (DODAG Information Object)"
"520","2447.700939","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","261","199","RPL Control (DODAG Information Object)"
"521","2447.728332","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","261","199","RPL Control (DODAG Information Object)"
"522","2447.758130","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","261","199","RPL Control (DODAG Information Object)"
"523","2447.801963","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","261","199","RPL Control (DODAG Information Object)"
"524","2447.802365","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","261","199","RPL Control (DODAG Information Object)"
"525","2447.843516","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","261","199","RPL Control (DODAG Information Object)"
"526","2447.843913","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","261","199","RPL Control (DODAG Information Object)"
"527","2448.368122","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","275","126","RPL Control (DODAG Information Object)"
