"No.","Time","Source","Destination","Protocol","Length","Rank","Sequence Number","Info"
"75","51.232381","fe80::212:4b00:1192:fd83","ff02::1a","ICMPv6","97","326","119","RPL Control (DODAG Information Object)"
"76","51.862100","fe80::212:4b00:1665:3283","ff02::1a","ICMPv6","97","128","16","RPL Control (DODAG Information Object)"
"77","53.617298","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","471","81","RPL Control (DODAG Information Object)"
"79","54.667504","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","82","RPL Control (Destination Advertisement Object)"
"81","54.668125","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","120","RPL Control (Destination Advertisement Object)"
"83","55.942716","fe80::212:4b00:1665:2a04","fe80::212:4b00:1665:3283","ICMPv6","76","","192","RPL Control (Destination Advertisement Object)"
"85","56.917713","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","469","83","RPL Control (DODAG Information Object)"
"86","57.787847","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","121","RPL Control (Destination Advertisement Object)"
"88","57.937849","fe80::212:4b00:1665:2a04","ff02::1a","ICMPv6","97","382","193","RPL Control (DODAG Information Object)"
"89","59.542683","fe80::212:4b00:1665:2a04","fe80::212:4b00:1192:fd83","ICMPv6","102","382","194","RPL Control (DODAG Information Object)"
"91","65.873113","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:3283","ICMPv6","76","","122","RPL Control (Destination Advertisement Object)"
"93","65.993210","fe80::212:4b00:1193:101","fe80::212:4b00:1192:fd83","ICMPv6","76","","84","RPL Control (Destination Advertisement Object)"
"95","74.528316","fe80::212:4b00:1192:fd83","fe80::212:4b00:1665:2a04","ICMPv6","102","306","123","RPL Control (DODAG Information Object)"
"97","111.955049","fe80::212:4b00:1193:101","ff02::1a","ICMPv6","97","467","85","RPL Control (DODAG Information Object)"
"98","112.840107","fe80::212:4b00:1193:101","fe80::212:4b00:1665:2a04","ICMPv6","102","467","86","RPL Control (DODAG Information Object)"
"100","115.705097","fe80::212:4b00:1665:2a04","fe80::212:4b00:1193:101","ICMPv6","102","382","195","RPL Control (DODAG Information Object)"
"102","119.249042","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","306","124","RPL Control (DODAG Information Object)"
"103","119.249496","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","306","124","RPL Control (DODAG Information Object)"
"104","119.266937","fe80::212:4b00:1192:fd83","fe80::212:4b00:1193:101","ICMPv6","102","306","124","RPL Control (DODAG Information Object)"
